Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Liberia,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Libya,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Liechtenstein,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Lithuania,0,0,0,4000000,9000000,200000000,632000000,1112000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Luxembourg,15000000,15000000,37000000,51000000,117000000,151000000,184000000,291000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Macao SAR, China",0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Madagascar,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Malawi,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Malaysia,0,0,0,1000000,1000000,0,1057000000,928000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Maldives,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Mali,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Malta,0,0,0,0,0,0,10000000,75000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Marshall Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Mauritania,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Mauritius,170000000,225000000,299000000,452000000,453000000,486000000,496000000,505000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Mexico,8221000000,7452000000,7258000000,7904000000,10401000000,8052000000,8829000000,14000000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Moldova,0,0,0,0,0,0,0,15000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Monaco,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Mongolia,0,0,0,0,0,0,0,170000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Montenegro,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Morocco,0,0,0,194000000,206000000,298000000,692000000,1924000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Mozambique,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Myanmar,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Namibia,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Nauru,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Nepal,0,0,0,0,0,0,0,7000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Netherlands,1015000000,1736000000,2417000000,3864000000,7357000000,9429000000,12265000000,11596000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",New Caledonia,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",New Zealand,2909000000,2657000000,3375000000,3358000000,4276000000,5829000000,8708000000,10140000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Nicaragua,506000000,436000000,200000000,341000000,623000000,660000000,856000000,2000000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Niger,0,0,0,0,2000000,3000000,0,4000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Nigeria,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",North Macedonia,0,0,0,0,0,0,1000000,85000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Norway,250000000,312000000,298000000,325000000,832000000,1310000000,1650000000,2475000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Oman,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Pakistan,0,0,0,0,0,0,0,802000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Palau,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Panama,42000000,18000000,29000000,18000000,23000000,16000000,23000000,148000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Papua New Guinea,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Paraguay,28000000,32000000,36000000,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Peru,109000000,137000000,140000000,187000000,349000000,461000000,676000000,1747000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Philippines,5667000000,6534000000,10594000000,10242000000,9921000000,10785000000,10125000000,10640000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Poland,61000000,133000000,197000000,488000000,1646000000,4456000000,10806000000,17660000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Portugal,917000000,1031000000,1364000000,1933000000,3529000000,7843000000,12575000000,15991000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Puerto Rico,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Qatar,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Romania,1000000,0,0,3000000,6000000,29000000,1587000000,8322000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Russian Federation,60000000,57000000,60000000,179000000,458000000,494000000,562000000,743000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Rwanda,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Samoa,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",San Marino,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Saudi Arabia,0,0,0,0,0,0,0,1000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Senegal,45000000,47000000,50000000,70000000,55000000,43000000,80000000,66000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Serbia,0,0,0,0,0,0,0,29000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Seychelles,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Sierra Leone,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Singapore,245000000,245000000,245000000,473000000,478000000,525000000,611000000,821000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Slovak Republic,0,0,0,152000000,38000000,524000000,1221000000,2020000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Slovenia,0,0,31000000,102000000,114000000,290000000,318000000,519000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Solomon Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Somalia,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",South Africa,0,60000000,197000000,259000000,278000000,299000000,327000000,2251000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",South Sudan,0,0,0,0,0,0,0,2000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Spain,704000000,1459000000,4485000000,11958000000,23870000000,38779000000,56927000000,71100000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Sri Lanka,0,0,3000000,14000000,20000000,27000000,143000000,333000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",St. Lucia,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",St. Martin (French part),0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Sudan,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Suriname,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Sweden,2220000000,2263000000,3056000000,4785000000,8429000000,12337000000,17625000000,21977000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Switzerland,482000000,623000000,771000000,936000000,1054000000,1289000000,1628000000,2634000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Tajikistan,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Tanzania,0,0,0,0,0,3000000,34000000,40000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Thailand,1000000,862000000,868000000,688000000,1532000000,2614000000,4391000000,9152000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Timor-Leste,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Togo,0,0,0,1000000,2000000,2000000,5000000,5000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Tonga,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Trinidad and Tobago,28000000,17000000,18000000,26000000,22000000,20000000,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Tunisia,0,0,0,30000000,42000000,39000000,111000000,532000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Turkiye,134000000,260000000,235000000,283000000,187000000,1151000000,5760000000,11983000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Turkmenistan,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Tuvalu,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Uganda,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Ukraine,0,0,3000000,22000000,38000000,309000000,254000000,1689000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",United Arab Emirates,0,0,0,0,0,0,0,301000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",United Kingdom,1416000000,2292000000,4280000000,6340000000,12016000000,16706000000,28851000000,58694000000,70094000000,75094000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",United States,72278000000,71943000000,73395000000,81103000000,93760000000,1.34308E+11,2.07229E+11,2.98023E+11,4.00E+11,4.30E+11
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Uruguay,59000000,41000000,47000000,39000000,39000000,841000000,973000000,2159000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Uzbekistan,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Vanuatu,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Venezuela, RB",0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Viet Nam,0,0,0,0,50000000,56000000,143000000,146000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",West Bank and Gaza,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Yemen, Rep.",0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Zambia,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Zimbabwe,0,0,0,0,0,79000000,131000000,144000000,0,0
Total natural resources rents (% of GDP),Afghanistan,0,0,0,1.276148807,0.393192771,0.601665825,0.83638966,0.5427565,0.702981729,0.305978172
Total natural resources rents (% of GDP),Albania,3.378501797,1.361529489,0.582819936,0.765808882,1.101150557,1.775404364,2.898498354,3.416900434,1.346042379,0.775369617
Total natural resources rents (% of GDP),Algeria,14.91240779,21.17192421,18.62330517,23.47093852,32.68003154,32.86509136,28.58128996,22.61230978,15.37239297,14.03437709
Total natural resources rents (% of GDP),American Samoa,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Andorra,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Angola,36.66246848,41.36171668,40.80335432,32.88371598,42.76007427,52.56077296,39.0226785,22.12424763,25.95032991,20.24766539
Total natural resources rents (% of GDP),Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Argentina,1.095340384,1.595984102,1.400564103,5.630902393,5.187273828,4.949379949,3.886504042,2.965616195,1.020566168,1.429624325
Total natural resources rents (% of GDP),Armenia,0.26948156,0.31544704,0.177492136,0.591149485,0.010257477,0.213475225,2.923458601,0.306948917,0.245815848,2.421905511
Total natural resources rents (% of GDP),Aruba,0.00092524,0.000819402,0.000717902,0.001371008,0.001972758,0.002872982,0.003809771,0.003235172,0.002827191,0.003037193
Total natural resources rents (% of GDP),Australia,2.227069662,2.051526567,1.837019042,2.912469317,4.344938175,8.526419382,8.723520359,4.760939437,5.06804774,6.093158656
Total natural resources rents (% of GDP),Austria,0.128355631,0.143216447,0.099384274,0.158690317,0.146449379,0.258181875,0.244690494,0.191846541,0.121957004,0.070850499
Total natural resources rents (% of GDP),Azerbaijan,41.01098867,26.03896319,17.39193913,25.88033959,38.59125062,43.04068225,32.87864786,22.518123,19.67465012,13.00273479
Total natural resources rents (% of GDP),"Bahamas, The",0.106734839,0.08009688,0.008947106,0.008027619,0.006253222,0.008815082,0.013367266,0.017750691,0.017196511,0.019202625
Total natural resources rents (% of GDP),Bahrain,21.48392146,22.47407359,18.93070996,18.30967403,23.55017826,24.8161182,26.99494314,22.41132826,11.16032746,10.70414142
Total natural resources rents (% of GDP),Bangladesh,0.582732541,0.590055046,0.663669373,1.156315805,1.421508609,1.245908424,1.589425068,1.047180748,0.71042001,0.560867699
Total natural resources rents (% of GDP),Barbados,0.249148835,0.230653857,0.272777479,0.243476236,0.356611997,0.400710135,0.478258262,0.327779296,0.132282263,0.138343276
Total natural resources rents (% of GDP),Belarus,2.212482022,3.371197224,1.720730294,1.811256532,1.769998576,1.6038513,1.654101784,1.324615641,1.564175833,1.520638317
Total natural resources rents (% of GDP),Belgium,0.025368826,0.022615723,0.022823527,0.023639636,0.015728442,0.018362627,0.065845607,0.068106556,0.037150201,0.028487638
Total natural resources rents (% of GDP),Belize,0.436250448,0.409891121,0.282795926,0.214525511,0.216624955,4.787787621,5.751302665,2.060630487,0.740544656,0.478914006
Total natural resources rents (% of GDP),Benin,5.754141942,8.302381343,3.147925746,3.302809291,3.07234404,3.648754647,3.478932344,3.704615524,4.098353253,2.427984838
Total natural resources rents (% of GDP),Bermuda,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Bhutan,6.517623916,5.834989308,4.284535889,3.574159057,2.690948329,4.202209946,4.920991786,3.41885764,3.364033412,2.792032349
Total natural resources rents (% of GDP),Bolivia,3.641556134,4.732803056,2.774976275,4.944851247,11.54522087,12.77668676,14.00109561,10.53288022,5.014566925,2.720379798
Total natural resources rents (% of GDP),Bosnia and Herzegovina,0,0.091740863,1.360924692,0.87697262,1.830450777,3.637767327,3.526252702,1.236322738,1.2816214,0.781248846
Total natural resources rents (% of GDP),Botswana,1.148281953,1.249041184,1.358616621,0.914120248,2.343433042,3.962204519,1.894285052,0.92775776,0.880112469,0.675042393
Total natural resources rents (% of GDP),Brazil,2.056631272,1.148891708,1.714509741,2.81546731,3.650474977,4.776048833,4.33686639,3.286232795,2.733757678,3.22987656
Total natural resources rents (% of GDP),British Virgin Islands,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Brunei Darussalam,27.54145021,26.94441007,24.37018079,25.60908651,34.8705619,31.9744921,29.60862114,22.09864746,17.15059027,13.75245458
Total natural resources rents (% of GDP),Bulgaria,0.977500985,1.001624722,0.617206953,0.459805802,0.98190151,1.974702766,2.142670048,0.784766836,0.749247066,0.618935968
Total natural resources rents (% of GDP),Burkina Faso,5.603071099,12.82650508,4.632223202,5.728161545,6.373526503,8.596970708,13.63619334,10.31090556,12.30990896,9.177826877
Total natural resources rents (% of GDP),Burundi,14.23864858,28.92466302,15.41724374,24.30142546,26.68076751,33.04824404,24.98915895,17.45474834,18.50767497,13.84755216
Total natural resources rents (% of GDP),Cabo Verde,27.14440866,29.52371499,14.28439088,19.19753734,32.15302204,49.20578761,40.13409833,12.00935424,12.32030945,11.58279868
Total natural resources rents (% of GDP),Cambodia,5.471296234,8.266182077,3.393557208,2.595476152,1.808815428,3.099840616,3.050949143,2.548820527,1.937353086,0.939357676
Total natural resources rents (% of GDP),Cameroon,5.299073629,9.193799163,5.151247341,5.279828085,7.391665666,10.07692778,8.164166084,7.035907313,6.083526408,4.342022685
Total natural resources rents (% of GDP),Canada,2.618825014,3.202988449,2.362160862,2.868614452,5.564819086,5.073616904,2.593470208,1.688532935,1.196904703,1.241818746
Total natural resources rents (% of GDP),Cayman Islands,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Central African Republic,6.522793603,12.00715475,9.612906861,11.35920177,8.635320127,11.74272745,8.450498532,11.26607225,13.41759038,9.885328865
Total natural resources rents (% of GDP),Chad,8.506966557,12.72771738,9.504021487,8.651860884,36.32059884,33.91959284,28.1688126,15.68822038,16.8846139,13.93309017
Total natural resources rents (% of GDP),Channel Islands,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Chile,3.354116222,4.958696109,3.669460305,3.696582295,9.796308433,13.82543935,12.16451854,6.87780503,5.302617925,5.487169367
Total natural resources rents (% of GDP),China,4.449074165,3.004801638,1.845327367,1.956296367,5.102772885,9.648413544,7.685202899,2.310134805,1.314237667,0.863774741
Total natural resources rents (% of GDP),Colombia,2.98064671,3.723840394,4.321811829,3.950071891,6.261158456,8.788226917,9.860491552,6.530577898,3.728233211,2.551194176
Total natural resources rents (% of GDP),Comoros,0.633194862,1.725396132,1.271047552,1.375146732,1.297308546,1.716692455,1.633542186,1.976956784,2.363853111,1.599209654
Total natural resources rents (% of GDP),"Congo, Dem. Rep.",10.71546453,36.29903341,28.49657879,18.86768592,23.74286551,28.45840709,28.88304749,24.55687799,24.76565584,15.92819733
Total natural resources rents (% of GDP),"Congo, Rep.",32.03667425,39.26877533,39.24372254,46.64501144,48.09891143,52.64450299,51.84373021,27.65823129,29.80638077,26.21813242
Total natural resources rents (% of GDP),Costa Rica,2.203274888,2.578770763,1.154233514,0.981118861,1.121429787,1.486549115,1.263849901,1.387670719,1.133839555,0.90474824
Total natural resources rents (% of GDP),Cote d'Ivoire,3.387548553,3.10906316,2.230640624,2.45890648,3.711976777,5.562002519,5.532399502,3.419355111,3.388768016,2.591638581
Total natural resources rents (% of GDP),Croatia,0,0.846736297,0.555158693,0.768646694,0.71926136,1.100566987,1.293940466,0.867348745,0.658339391,0.439094633
Total natural resources rents (% of GDP),Cuba,0.726531019,1.427021804,0.788553451,1.367674889,2.637736541,3.186620445,2.926948254,1.667347718,0.663678033,0.565351678
Total natural resources rents (% of GDP),Curacao,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Cyprus,0.012898024,0.014720566,0.014109308,0.010947039,0.00193201,0.019593476,0.071751764,0.034871859,0.005391486,0.007931086
Total natural resources rents (% of GDP),Czechia,0.977474119,0.701959149,0.436825556,0.470038679,0.767854032,1.533732458,1.07008711,0.345428962,0.372292875,0.416571327
Total natural resources rents (% of GDP),Denmark,0.389353554,0.537019819,0.548736539,1.17562785,1.720683052,2.107733046,1.635378919,0.983209243,0.470200712,0.162332732
Total natural resources rents (% of GDP),Djibouti,0.380891594,0.664007194,0.391087418,0.454277724,0.539507985,0.790439022,0.888463491,0.788998443,0.571398009,0.322148756
Total natural resources rents (% of GDP),Dominica,0.029638552,0.027614817,0.02546173,0.022138961,0.021634344,0.026123999,0.0412283,0.065145184,0.055945427,0.046289331
Total natural resources rents (% of GDP),Dominican Republic,0.27024182,0.703394465,0.190528243,0.027647779,0.72103539,0.234147046,0.340210818,1.037509545,1.035344541,1.239311094
Total natural resources rents (% of GDP),Ecuador,6.941669978,9.063843305,8.233060972,8.38814722,16.84983806,18.96187278,16.57737601,11.59035718,4.983720235,2.924306685
Total natural resources rents (% of GDP),"Egypt, Arab Rep.",10.78777858,9.355199736,5.93374873,7.300375276,14.46448521,15.58248556,12.3388402,8.432227974,5.698864287,3.257743272
Total natural resources rents (% of GDP),El Salvador,0.559922378,0.509551085,0.555346762,0.470738094,0.546622489,1.169802857,0.832361783,1.055059325,0.888160411,0.764177304
Total natural resources rents (% of GDP),Equatorial Guinea,26.59006306,68.66833972,67.4328689,0,56.28911442,46.43786601,37.68415636,27.1072399,21.95890674,16.68159888
Total natural resources rents (% of GDP),Eritrea,5.389152203,7.708812147,4.928172479,3.09853412,3.276171596,4.284507803,26.95626214,0,0,0
Total natural resources rents (% of GDP),Estonia,0,3.002580693,2.474482778,2.456910964,1.642375141,2.095391727,1.785190428,1.765577813,1.733436412,1.430243262
Total natural resources rents (% of GDP),Eswatini,4.227655513,4.446583034,3.241745827,4.473176747,2.053522021,3.775190434,2.642762369,3.439779179,4.03940047,3.381644643
Total natural resources rents (% of GDP),Ethiopia,14.69157396,28.66873567,19.60366512,23.18932315,23.49319366,18.77934937,17.42825322,13.38448202,9.877870637,5.497700603
Total natural resources rents (% of GDP),Faroe Islands,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Fiji,1.540845967,1.423175108,0.845075902,0.989507047,0.947750804,0.880454237,1.963167717,1.17576955,1.266502495,1.45148578
Total natural resources rents (% of GDP),Finland,0.548937085,0.473774437,0.399618675,0.42039271,0.29800251,0.387209366,0.532649115,0.483087059,0.453771651,0.289254243
Total natural resources rents (% of GDP),France,0.073214975,0.073072637,0.045844738,0.056837891,0.041727299,0.053980065,0.04869243,0.046225178,0.036225044,0.026631865
Total natural resources rents (% of GDP),French Polynesia,0.000955097,0.001999472,0.000852016,0.001128323,0.001610496,0.003428269,0.004459792,0.005357313,0.005851093,0.004057314
Total natural resources rents (% of GDP),Gabon,32.19849333,32.92083235,26.05139205,31.72719863,37.76734433,41.06808274,39.14599468,24.7540184,17.69978403,13.49882496
Total natural resources rents (% of GDP),"Gambia, The",2.153883157,2.697587623,2.001343543,3.547576283,2.631825738,3.184892886,4.467438799,5.240915463,6.493237097,3.034393045
Total natural resources rents (% of GDP),Georgia,0.452219246,0.46234159,0.551848984,0.565805015,0.775238184,0.782966178,1.898516917,0.522067118,0.472314028,0.925523673
Total natural resources rents (% of GDP),Germany,0.075621989,0.082276616,0.046661797,0.104825753,0.138854595,0.305968629,0.228554942,0.097361259,0.068263666,0.076745398
Total natural resources rents (% of GDP),Ghana,9.60397698,13.7777338,7.829316881,13.42490789,11.73180446,9.161901931,16.07068747,12.24953468,10.37004043,8.486579585
Total natural resources rents (% of GDP),Gibraltar,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Greece,0.091840305,0.072689593,0.028983375,0.05017763,0.132002913,0.34720101,0.357427754,0.124778383,0.107741216,0.038845971
Total natural resources rents (% of GDP),Greenland,0.623495419,0.31834088,0,0,0.335434256,0.844947976,0.114611409,0,0,0
Total natural resources rents (% of GDP),Grenada,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Guam,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Guatemala,1.330924431,1.38934547,1.421976585,1.495523317,1.555627948,1.931842379,2.86196592,2.981116605,1.502892024,1.352502091
Total natural resources rents (% of GDP),Guinea,13.55176014,15.27937536,10.76589878,12.11145178,21.08746754,15.22396548,18.19951148,14.93195431,18.95312462,4.827688051
Total natural resources rents (% of GDP),Guinea-Bissau,15.97232647,24.17085897,19.26880179,12.57786619,13.39636907,15.98064891,13.24877558,18.69878389,15.98573326,11.15158604
Total natural resources rents (% of GDP),Guyana,31.66385787,29.78711211,17.78305104,12.78512746,20.91155203,10.36355729,16.53176628,10.79658279,13.1616426,13.89854308
Total natural resources rents (% of GDP),Haiti,1.250919369,0.942847808,0.619396171,0.396885022,0.353534371,0.399712732,0.530247287,0.699288592,0.657342724,0.577844131
Total natural resources rents (% of GDP),Honduras,1.834976705,1.9680215,1.687614002,1.370539176,1.196162861,1.206790319,1.704480755,2.266127918,1.729067225,1.233260983
Total natural resources rents (% of GDP),"Hong Kong SAR, China",0.00084238,0.001477084,0.000529483,0.000657692,0.000619914,0.001459215,0.00836943,0.017354699,0.001619039,0.000887798
Total natural resources rents (% of GDP),Hungary,0.815199937,0.755257321,0.358607756,0.454218905,0.409312456,0.659685571,0.67555422,0.403352373,0.282558589,0.204655214
Total natural resources rents (% of GDP),Iceland,0,0,0,0,0,0,0.000381434,0.000347133,0.000217387,0.000108794
Total natural resources rents (% of GDP),India,2.441897232,2.48487037,1.850096417,2.341362712,3.658743604,7.109348324,5.305075671,2.813689851,1.983934016,1.784669207
Total natural resources rents (% of GDP),Indonesia,6.630116432,6.428003237,7.869129443,7.285954752,10.32535316,11.1002865,8.563113934,4.791621037,3.080161772,2.438667323
Total natural resources rents (% of GDP),"Iran, Islamic Rep.",30.84210651,20.98946259,18.62660779,22.90156006,34.48231602,33.52275118,25.34614645,24.86078114,17.46779643,23.2391718
Total natural resources rents (% of GDP),Iraq,0,36.47816633,37.0179204,46.97210573,65.3184968,55.68572884,51.19454041,46.85439615,39.20055423,27.41701319
Total natural resources rents (% of GDP),Ireland,0.111087252,0.126237069,0.031597829,0.047580906,0.063604615,0.039635917,0.096242796,0.035395871,0.112833072,0.036762686
Total natural resources rents (% of GDP),Isle of Man,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Israel,0,0.003245885,0.003366072,0.001213231,0.059625999,0.386322235,0.280630419,0.240636648,0.17579553,0.272440677
Total natural resources rents (% of GDP),Italy,0.06041941,0.080135246,0.03828821,0.089629871,0.101634964,0.151794976,0.156005817,0.138451593,0.063998645,0.055970546
Total natural resources rents (% of GDP),Jamaica,4.262818875,2.796424412,1.460155157,1.228195873,2.23829379,3.019946854,2.256161458,1.782351827,1.528386238,0.322432526
Total natural resources rents (% of GDP),Japan,0.022659358,0.019113002,0.012488665,0.013227662,0.016946011,0.023972483,0.02167697,0.028070884,0.038445869,0.096997201
Total natural resources rents (% of GDP),Jordan,0.105493099,0.16820473,0.133271802,0.123626824,0.122013749,5.652699788,3.317672451,1.195422886,0.869000683,0.051675912
